id,blueprint_ref,requirement,status,basis,landing_zone,milestone
G001,"§0, §160-163","End-state: evidence-backed relationship + influence intelligence over one graph, no parallel system",IN_PROGRESS,Governance recorded in PROGRAM_STATE.yaml; program sliced M0..M12,All milestones,M0-M12
G002,"§1 inventory","Extend existing pieces rather than rebuild (graph/UPR/semantic/computation/exploration present)",PRESENT,shared/graph, shared/computation, services/provider_runtime, services/semantic_intelligence present on base; CURRENT_STATE.md,All milestones,M0
G003,"§3.1","Graph remains authoritative; Relationship360 owns cross-domain relationships; Social360 is bounded evidence domain",PARTIAL,relationship360/social360 registry entries in_flight, no providers; graph present,FILE_OWNERSHIP + M1 provider impl,M1-M3
G004,"§3.2","Behavioral similarity never identity evidence; identity vs relationship resolution separate",PARTIAL,No social->identity similarity path exists yet (good); must stay true when social facts bind,services/identity consume seam in M3; validator M12,M3-M12
G005,"§3.3","Unknown never zero: canonical state vocabulary preserved",PARTIAL,Precedent present (shared/dimension_state.py, profile/read_result.py, profile/economic.py:_decimal) but legacy social path fabricates zeros (social_aggregator, social/routes stub),M4 kills legacy defaults; M1 vocab contract,M1-M4
G006,"§3.4","Incentive exposure is context, not disqualification; no none_observed->organic",MISSING,No IncentiveContext exists,IncentiveContext contract M1; resolver M5; validator M12,M1+M5
G007,"§3.5","Existence confidence separate from relationship strength",MISSING,No relationship assertion model,RelationshipAssertion M1; fidelity vector M7,M1+M7
G008,"§3.6","One interaction does not auto-promote to durable relationship",MISSING,No promotion policy,Promotion engine M6,M6
G009,"§3.7","Multi-hop paths do not manufacture truth",PARTIAL,path_scoring.py has causality-class penalties; no per-predicate transitivity/epistemic-ceiling model,Path hop contract + ceiling M8,M8
G010,"§3.8","Correlated evidence != independent evidence",MISSING,No evidence grouper/independence resolver,EvidenceGroup M6/M7,M6-M7
G011,"§3.9","No universal SocialScore/InfluenceScore canonical field",PARTIAL,Legacy influence_level exists (to deprecate M4); no new universal field planned,Validator forbid; M4 deprecation,M4+M12
G012,"§3.10","Every non-primitive assertion explainable (evidence/policy/model/contradiction)",MISSING,No assertion explanation record,RelationshipAssertion + explain API M1/M6/M10,M1+M6
G013,"§4 ownership matrix","No alternate canonical owner introduced",PRESENT-as-governance,FILE_OWNERSHIP.md maps capability->owner; enforced via registries/migrations ownership,FILE_OWNERSHIP.md,all
G014,"§6-§11","Social360 canonical contracts: SocialIdentity, Connection, Interaction, Content, CommunityMembership, MetricObservation",MISSING,No silver-fact contracts,packages/shared/contracts additions M1,M1
G015,"§12","Remove fixed cross-platform audience overlap from authority path; audience_summary with dedup basis",PARTIAL,Fixed percentages exist only in dead social_aggregator.py; legacy total_followers_deduped live in stub/TS/gold -> M4 deletes/deprecates,Delete dead code M4; TS deprecation M1/M4,M4
