requirement,existing_implementation,existing_source_paths,mounted_route_or_entry,confirmed_defect_or_missing_behavior,owning_program_pr,required_contract_changes,required_tests,required_staging_evidence,explicit_non_goals
"Canonical application exploration state","Shared URL codec/store/provider and typed exploration client; provider mounted in both applications","frontend/shared/src/exploration; frontend/aether/src/app/providers.tsx; frontend/kyber/src/app/providers.tsx","Aether and Kyber authenticated application providers","Branch implementation is complete locally; live-backend deep-link and browser-history evidence is not recorded","Phase 1","Reuse exploration-contract and filter-field registry","URL restoration; cancellation; stale response; authority change","Deep-link and back/forward trace against live backend","No second router, store, or filter language"
"Exploration API and query integrity","Mounted /v1/explore service plus typed client validation, cancellation, stale-response protection, facets, saved views and context links","Backend Architecture/aether-backend/services/exploration; packages/shared/exploration-contract.ts; frontend/shared/src/exploration/client.ts","/v1/explore/* through Aether and Kyber providers","Credentialed staging responses and disposition traces are not recorded","Phase 1","No new backend query contract; typed client mirrors mounted routes","Recursive validation; disposition; facets; saved views; context links; cancellation and stale response","Live /v1/explore request/response evidence with query IDs and dispositions","No client-side full-dataset filtering"
"Filter registry and builder","Canonical JSON registry with generated TypeScript/Python artifacts and shared builder","packages/shared/contracts/filter-field-registry.json; packages/shared/filter-fields.ts; frontend/shared/src/exploration/components/filter-builder.tsx","Exploration chrome consumers","Program fields may be added only with a confirmed backend consumer; nested operator coverage must remain registry-driven","PR 1","Extend canonical registry only when backend execution exists","Registry parity; nested AND/OR/NOT; invalid operator/type; sensitivity and cohort rules","Applied/translated/unsupported/suppressed dispositions from staging","No third readiness or filter vocabulary"
"Facets","Backend-conditioned facet engine and shared FacetPanel","Backend Architecture/aether-backend/services/exploration/facets.py; frontend/shared/src/exploration/components/facet-panel.tsx","/v1/explore/facets and mounted exploration chrome","Every migrated page must use backend counts and preserve suppression/truncation metadata","PR 1","Reuse exploration facet response","Conditioning; suppression; sampled/truncated; selection preserves query","Facet count comparison against known seeded cohort","No recomputation over returned page"
"Shared result tables","DataTable supports server-sort requests, cursor paging, returned-vs-total counts, durable selection semantics and exact-query export callbacks","frontend/shared/src/components/data-table.tsx; frontend/shared/src/index.ts","Many mounted Aether and Kyber pages","Large live result-set and exported-query reproduction evidence is not recorded","Phase 1","Backward-compatible shared table behavior contract","Sorting; cursor; selection; counts; keyboard and headers; export query","Large result page with cursor and exact-query export","No forced visual redesign or fake all-query selection"
"Truth and capability presentation","TruthBanner, capability resolver/badge and data-state components use canonical empty, partial, unavailable, suppressed, credential-waiting and failed states","frontend/shared/src/exploration/truth-model.ts; frontend/shared/src/exploration/components/truth-banner.tsx; frontend/shared/src/status","Mounted exploration and capability-gated pages","Credentialed screenshots and assistive-technology evidence are not recorded","Phase 1","Extend existing truth/readiness types only","All canonical states; unknown-vs-zero; accessible labels","Empty, unavailable, suppressed, credential-waiting and failed screenshots/traces","No generic successful 'No data' fallback"
"Entity, profile, graph and behavioral workflow","Canonical exploration context now drives profile, graph, cluster, campaign, journey and geo requests and links","frontend/aether/src/features; frontend/aether/src/pages; Backend Architecture/aether-backend/services/graph; Backend Architecture/aether-backend/services/profile360","Aether users, profile, graph, clusters, campaigns, journeys and geo routes","Empty and seeded live-backend browser workflows have not been captured; unsupported entity dimensions remain governed by backend truth","Phase 2","Reuse canonical entity/exploration/context-link contracts","Entity types; dimension states; graph budgets; context links; empty/partial/unavailable","Empty and seeded live-backend browser workflows","No fabricated type-specific profiles or browser cluster metrics"
"Comparison, semantic, temporal and decision workflow","Mounted comparison workbench supports entity-vs-entity and entity-vs-history with local/backend preflight and finding truth guards; Noesis transports and saves exact canonical context","Backend Architecture/aether-backend/services/comparison; frontend/aether/src/features/comparison; frontend/aether/src/features/noesis; frontend/aether/src/pages/comparison; frontend/aether/src/pages/noesis","/compare, /graph and /noesis","Investigation and export actions remain explicitly unavailable because their current APIs cannot preserve exact context; live historical evidence is not recorded","Phase 3","Reuse comparison, semantic, bitemporal, saved-view and evidence contracts","Supported modes; mismatch/missing inputs; Noesis round-trip; exact saved context; causal/materiality guards","Live evidence navigation and historical comparison trace","No placeholder temporal surface, lossy investigation/export mutation, or tenant authority from natural language"
"Domain intelligence and governed activation","Selected payment, stablecoin, derivatives, interop, connector, reward and Kyber delivery surfaces render canonical truth/readiness/units and verify mutation postconditions","frontend/aether/src/components/domain-intelligence.tsx; frontend/aether/src/pages/connectors; frontend/aether/src/pages/derivatives; frontend/aether/src/pages/interop; frontend/aether/src/pages/payment-rails; frontend/aether/src/pages/rewards; frontend/aether/src/pages/stablecoins; frontend/kyber/src/pages/delivery","Mounted domain and operator routes","Broader agent/import/consent workflows and unmodified route families still require contract-by-contract review; live providers, reward rails and delivery replay have not been rehearsed","Phase 4","Reuse domain contracts, consent policy, command plane and outcome ledgers","Units/readiness; mutation postconditions; reward delivery; tenant scope; delivery replay outcomes","Credential-aware domain checks and governed safe-rail rehearsal","No provider-live inference, mock population, or frontend-authoritative action"
"Full test-tree and staging certification","Repo doctor, data-truth/route validators, deployment profiles and evidence scripts exist; local focused and frontend suites cover the branch changes","scripts/repo_doctor.py; scripts/validate_frontend_data_truth.py; scripts/validate_frontend_route_state_matrix.py; AWS Deployment","CI workflows and deployment-profile gates","Release remains NO-GO: hosted runners execute, but failing backend suites and the complete Playwright, accessibility, performance, rollback and credentialed staging evidence set are not green or recorded","Phase 5","Use existing fail-closed release gates without duplicating readiness vocabulary","Recorded collection/execution counts for every critical suite; Playwright matrix; accessibility; performance; rollback","Exact artifact checksum, migration head, worker readiness, empty/seeded/reset/isolation, provider and sleep evidence","No readiness claim from skipped suites, local-only tests, or external blockers"
